"","","","","","001","","001","","001","","002","","002","","002","","003","","003","","003","","004","","004","","004","","005","","005","","005","","006","","006","","006","","007","","007","","007","","008","","008","","008","","009","","009","","009",""
"","","","","/実数・移動率・日本人人口","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　転入超過","","実数　転入超過","","実数　転入超過","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","日本人人口【千人】","","日本人人口【千人】","","日本人人口【千人】",""
"","","","","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057",""
"国籍 コード","国籍","全国・都道府県・大都市4 コード","全国・都道府県・大都市4","/推移2","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈"
"61000","日本人移動者","32000","島根県","","7778","","7695","","-83","","10548","","10248","","-300","","11914","","11500","","-414","","-1366","","-1252","","114","","1.13","","1.13","","***","","1.53","","1.50","","***","","1.73","","1.68","","***","","-0.20","","-0.18","","***","","689","","684","","***",""
"61000","日本人移動者","33000","岡山県","","33917","","33073","","-844","","29352","","28054","","-1298","","30602","","30027","","-575","","-1250","","-1973","","-723","","1.78","","1.74","","***","","1.54","","1.48","","***","","1.61","","1.58","","***","","-0.07","","-0.10","","***","","1904","","1896","","***",""
"61000","日本人移動者","34000","広島県","","60031","","57241","","-2790","","46864","","45966","","-898","","49720","","48102","","-1618","","-2856","","-2136","","720","","2.14","","2.05","","***","","1.67","","1.64","","***","","1.77","","1.72","","***","","-0.10","","-0.08","","***","","2809","","2799","","***",""
"61000","日本人移動者","35000","山口県","","19068","","18352","","-716","","21869","","21394","","-475","","26499","","25195","","-1304","","-4630","","-3801","","829","","1.37","","1.33","","***","","1.57","","1.55","","***","","1.90","","1.82","","***","","-0.33","","-0.28","","***","","1393","","1381","","***",""
"61000","日本人移動者","36000","徳島県","","12033","","11324","","-709","","9478","","9107","","-371","","11712","","10855","","-857","","-2234","","-1748","","486","","1.60","","1.52","","***","","1.26","","1.22","","***","","1.56","","1.46","","***","","-0.30","","-0.23","","***","","752","","746","","***",""
"61000","日本人移動者","37000","香川県","","12045","","11639","","-406","","17999","","16937","","-1062","","18491","","18038","","-453","","-492","","-1101","","-609","","1.24","","1.21","","***","","1.86","","1.76","","***","","1.91","","1.87","","***","","-0.05","","-0.11","","***","","969","","964","","***",""
"61000","日本人移動者","38000","愛媛県","","18419","","17603","","-816","","17726","","17080","","-646","","21595","","20727","","-868","","-3869","","-3647","","222","","1.34","","1.29","","***","","1.29","","1.25","","***","","1.57","","1.52","","***","","-0.28","","-0.27","","***","","1377","","1366","","***",""
"61000","日本人移動者","39000","高知県","","11622","","11175","","-447","","9199","","8919","","-280","","11477","","11184","","-293","","-2278","","-2265","","13","","1.60","","1.56","","***","","1.27","","1.24","","***","","1.58","","1.56","","***","","-0.31","","-0.32","","***","","725","","718","","***",""
"61000","日本人移動者","40000","福岡県","","157263","","149189","","-8074","","99936","","98344","","-1592","","96333","","92612","","-3721","","3603","","5732","","2129","","3.11","","2.95","","***","","1.98","","1.95","","***","","1.91","","1.83","","***","","0.07","","0.11","","***","","5054","","5054","","***",""
"61000","日本人移動者","41000","佐賀県","","10646","","10173","","-473","","15334","","14831","","-503","","18005","","17131","","-874","","-2671","","-2300","","371","","1.28","","1.23","","***","","1.85","","1.80","","***","","2.17","","2.08","","***","","-0.32","","-0.28","","***","","829","","824","","***",""
